,brand,model,model_year,price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
160,Honda,Odyssey,2009,6000,Grey,EX-L,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"274,896",https://www.carproof.com/order?ref=kijiji&vin=5FNRL38679B503726,"1101 Finch Avenue West, UNIT 3, Toronto, ON, M3J 2C9"
161,Toyota,Matrix,2009,9995,Orange,Other 4dr Wgn Auto FWD,Used,Other,Front-wheel drive (FWD),na,Gasoline,"162,000",https://www.carproof.com/order?ref=kijiji&vin=2TIKU40E09C073047,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
162,BMW,X1,2015,20690,Brown,"XDrive28i AWD w/ Pano Roof, Heated Front Seats",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"80,412",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
163,Chevrolet,Silverado 2500,2011,23999,White,Crew Cab Long Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"142,747",https://www.carproof.com/order?ref=kijiji&vin=1GC1KVCGXBF125995,"17 Tangiers Road, North York, ON, M3J 2B1"
164,BMW,4-Series,2019,36890,White,"430i xDrive Coupe AWD w/ M Sport Package, HUD, Navi",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"40,652",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
165,Ford,Fusion,2020,24990,Silver,"SE w/ SYNC 3, Navi, Adaptive Cruise CTRL",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"40,178",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
166,Ford,F-250,2014,19999,White,Crew Cab Short Box 4WD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"251,104",https://www.carproof.com/order?ref=kijiji&vin=1FT7W2B66EEB83389,"17 Tangiers Road, North York, ON, M3J 2B1"
167,Honda,Civic,2017,22990,Black,"Touring w/ Navi, CarPlay, Wireless Phone Charger",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"117,595",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
168,Honda,Civic,1991,8500,Black,Si,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,"290,325",na,"Scarborough, ON M1N 1R5"
169,Chevrolet,Corvette,2004,24250,Red,na,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"133,918",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
170,Honda,Pilot,2016,27995,Blue,EX-L 4WD EX-L with DVD Rear Entertainment System,Used,"SUV, Crossover",All-wheel drive (AWD),na,Gasoline,"129,000",na,"2292a Kingston Rd, Scarborough, ON, M1N 1T9"
171,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
172,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
173,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
174,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
175,na,na,na, na ,na,na,na,na,na,na,na,na,na,na
